,suite_name,suite_id,exp_name,run,rep,host_type,host_idx,factor_columns,source_file,cmd,cpsnark,model,num_verifier_reps,pc_type,$CMD$.small,Prover time,Verifier time,Proof size,$CMD$.medium,$CMD$.large,file,error
1,model-small,1725369940,exp_kzg,5,0,small,0,"['model', 'cpsnark']",output.csv,/home/ubuntu/doe-suite/osiris_nku/model-small/code/src/bin/test.zsh resnet18 kzg cp_link+ 5 /home/ubuntu/doe-suite/osiris_nku/model-small/code,cp_link+,resnet18,5,kzg,[{'main': '/home/ubuntu/doe-suite/osiris_nku/model-small/code/src/bin/test.zsh resnet18 kzg cp_link+ 5 /home/ubuntu/doe-suite/osiris_nku/model-small/code'}],99.529427251s,"[18.160056ms, 17.996121ms, 18.601599ms, 17.689179ms, 18.246337ms]",14528,,,,
2,model-small,1725369940,exp_kzg,4,0,small,0,"['model', 'cpsnark']",output.csv,/home/ubuntu/doe-suite/osiris_nku/model-small/code/src/bin/test.zsh resnet18 kzg no_com 5 /home/ubuntu/doe-suite/osiris_nku/model-small/code,no_com,resnet18,5,kzg,[{'main': '/home/ubuntu/doe-suite/osiris_nku/model-small/code/src/bin/test.zsh resnet18 kzg no_com 5 /home/ubuntu/doe-suite/osiris_nku/model-small/code'}],98.315834755s,"[9.723271ms, 9.505469ms, 9.315144ms, 8.727365ms, 9.332829ms]",14432,,,,
3,model-small,1725369940,exp_kzg,3,0,small,0,"['model', 'cpsnark']",output.csv,/home/ubuntu/doe-suite/osiris_nku/model-small/code/src/bin/test.zsh mnist kzg poly 5 /home/ubuntu/doe-suite/osiris_nku/model-small/code,poly,mnist,5,kzg,[{'main': '/home/ubuntu/doe-suite/osiris_nku/model-small/code/src/bin/test.zsh mnist kzg poly 5 /home/ubuntu/doe-suite/osiris_nku/model-small/code'}],5.937644264s,"[8.26787ms, 8.204022ms, 7.545989ms, 8.091922ms, 7.480765ms]",9760,,,,
4,model-small,1725369940,exp_kzg,10,0,small,0,"['model', 'cpsnark']",output.csv,/home/ubuntu/doe-suite/osiris_nku/model-small/code/src/bin/test.zsh dlrm kzg poseidon 5 /home/ubuntu/doe-suite/osiris_nku/model-small/code,poseidon,dlrm,5,kzg,[{'main': '/home/ubuntu/doe-suite/osiris_nku/model-small/code/src/bin/test.zsh dlrm kzg poseidon 5 /home/ubuntu/doe-suite/osiris_nku/model-small/code'}],459.972478527s,"[8.281272ms, 8.144598ms, 7.545638ms, 7.962236ms, 8.00404ms]",9632,,,,
5,model-small,1725369940,exp_kzg,11,0,small,0,"['model', 'cpsnark']",output.csv,/home/ubuntu/doe-suite/osiris_nku/model-small/code/src/bin/test.zsh dlrm kzg poly 5 /home/ubuntu/doe-suite/osiris_nku/model-small/code,poly,dlrm,5,kzg,[{'main': '/home/ubuntu/doe-suite/osiris_nku/model-small/code/src/bin/test.zsh dlrm kzg poly 5 /home/ubuntu/doe-suite/osiris_nku/model-small/code'}],47.054157409s,"[6.215598ms, 6.203159ms, 6.094726ms, 6.237821ms, 6.322941ms]",5856,,,,
6,model-small,1725369940,exp_kzg,6,0,small,0,"['model', 'cpsnark']",output.csv,/home/ubuntu/doe-suite/osiris_nku/model-small/code/src/bin/test.zsh resnet18 kzg poseidon 5 /home/ubuntu/doe-suite/osiris_nku/model-small/code,poseidon,resnet18,5,kzg,[{'main': '/home/ubuntu/doe-suite/osiris_nku/model-small/code/src/bin/test.zsh resnet18 kzg poseidon 5 /home/ubuntu/doe-suite/osiris_nku/model-small/code'}],341.27126377s,"[10.171208ms, 10.034266ms, 10.177991ms, 9.890229ms, 10.55042ms]",16256,,,,
7,model-small,1725369940,exp_kzg,1,0,small,0,"['model', 'cpsnark']",output.csv,/home/ubuntu/doe-suite/osiris_nku/model-small/code/src/bin/test.zsh mnist kzg cp_link+ 5 /home/ubuntu/doe-suite/osiris_nku/model-small/code,cp_link+,mnist,5,kzg,[{'main': '/home/ubuntu/doe-suite/osiris_nku/model-small/code/src/bin/test.zsh mnist kzg cp_link+ 5 /home/ubuntu/doe-suite/osiris_nku/model-small/code'}],5.658096725s,"[16.102313ms, 15.98921ms, 16.180779ms, 16.021001ms, 15.933932ms]",9504,,,,
8,model-small,1725369940,exp_kzg,8,0,small,0,"['model', 'cpsnark']",output.csv,/home/ubuntu/doe-suite/osiris_nku/model-small/code/src/bin/test.zsh dlrm kzg no_com 5 /home/ubuntu/doe-suite/osiris_nku/model-small/code,no_com,dlrm,5,kzg,[{'main': '/home/ubuntu/doe-suite/osiris_nku/model-small/code/src/bin/test.zsh dlrm kzg no_com 5 /home/ubuntu/doe-suite/osiris_nku/model-small/code'}],40.477266685s,"[6.037466ms, 5.840698ms, 6.042798ms, 5.879582ms, 5.852277ms]",5248,,,,
9,model-small,1725369940,exp_kzg,9,0,small,0,"['model', 'cpsnark']",output.csv,/home/ubuntu/doe-suite/osiris_nku/model-small/code/src/bin/test.zsh dlrm kzg cp_link+ 5 /home/ubuntu/doe-suite/osiris_nku/model-small/code,cp_link+,dlrm,5,kzg,[{'main': '/home/ubuntu/doe-suite/osiris_nku/model-small/code/src/bin/test.zsh dlrm kzg cp_link+ 5 /home/ubuntu/doe-suite/osiris_nku/model-small/code'}],47.710593296s,"[24.155506ms, 23.785028ms, 23.751258ms, 23.540162ms, 23.726427ms]",5568,,,,
10,model-small,1725369940,exp_kzg,0,0,small,0,"['model', 'cpsnark']",output.csv,/home/ubuntu/doe-suite/osiris_nku/model-small/code/src/bin/test.zsh mnist kzg no_com 5 /home/ubuntu/doe-suite/osiris_nku/model-small/code,no_com,mnist,5,kzg,[{'main': '/home/ubuntu/doe-suite/osiris_nku/model-small/code/src/bin/test.zsh mnist kzg no_com 5 /home/ubuntu/doe-suite/osiris_nku/model-small/code'}],5.601298037s,"[7.707331ms, 7.344007ms, 7.57897ms, 7.247078ms, 7.910276ms]",9280,,,,
